url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,has_ip,has_at,num_subdomains,has_https,path_depth,has_port,entropy,is_shortening,has_suspicious,http_status_code,http_response_time,http_redirect_count,content_length,server_type,ssl_valid,ssl_days_remaining,ssl_issuer_trusted,ssl_self_signed,ssl_cert_age_days,dns_resolve_time,dns_record_count,dns_has_mx,label
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.6901,0,0,200,0.181,0,324048,5,1,236,1,0,129,0.035,2,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.8269,0,0,200,1.062,1,73342,0,1,37,0,0,52,0.024,1,0,0
15,7,0,1,0,0,2,0,0,0,0,1,0,0,3.5069,0,0,200,1.228,2,71021,0,1,68,1,0,37,0.039,1,1,0
78,37,33,5,0,0,4,20,0,0,3,1,1,0,4.7165,0,0,200,2.042,0,3694,5,1,158,0,0,21,0.172,1,0,1
18,10,0,1,0,0,2,0,0,0,0,1,0,0,3.5724,0,1,200,0.399,1,51582,5,1,62,0,0,21,0.001,1,0,0
79,15,56,2,1,1,5,10,0,0,1,1,2,0,4.8896,0,1,200,1.556,2,115398,5,1,61,0,0,22,0.001,1,1,1
25,17,0,1,0,0,2,0,0,0,0,1,0,0,3.7835,0,0,406,1.231,1,562,5,1,50,0,0,39,0.037,3,1,0
36,23,5,2,1,0,3,0,0,0,1,1,0,0,3.9166,0,0,404,0.308,0,6873,5,1,33,0,0,56,0.1,2,0,1
20,12,0,1,0,0,2,0,0,0,0,1,0,0,3.5464,0,0,200,0.553,0,44221,4,1,46,0,0,44,0.018,3,1,0
35,26,1,2,2,0,3,0,0,0,1,1,0,0,3.8973,0,0,403,0.298,0,4387,4,1,43,0,0,46,0.199,2,0,1
84,15,61,2,1,0,6,5,0,0,1,1,3,0,4.7734,0,1,404,0.571,0,7882,5,1,61,0,0,22,0.001,1,1,1
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.6169,0,0,200,1.832,0,68077,2,1,58,1,0,338,0.235,3,1,0
58,49,1,2,5,0,3,10,0,0,1,1,0,0,4.5452,0,0,404,0.11,0,107,5,1,29,0,0,60,0.033,1,0,1
87,21,42,3,1,0,6,40,0,0,1,1,3,0,4.6666,0,0,403,2.909,0,2230,1,1,21,0,0,342,0.206,1,1,1
23,15,0,1,0,0,2,0,0,0,0,1,0,0,3.671,0,0,200,0.999,2,382375,4,1,236,1,0,160,0.029,1,0,0
21,13,0,1,0,0,2,0,0,0,0,1,0,0,4.0114,0,0,200,0.475,0,206306,4,1,339,1,0,57,0.07,2,1,0
20,12,0,1,0,0,2,0,0,0,0,1,0,0,3.6842,0,0,200,0.7,0,87241,0,1,44,0,0,45,0.282,4,1,0
22,14,0,1,0,0,2,0,0,0,0,1,0,0,3.7888,0,0,200,1.113,1,167454,5,1,229,0,0,165,0.071,4,1,0
24,16,0,2,0,0,2,0,0,0,1,1,0,0,3.9702,0,0,200,1.002,1,93890,4,1,252,1,0,112,0.188,1,1,0
44,37,0,2,1,0,2,8,0,0,1,0,0,0,4.3542,0,0,502,0.45,0,0,0,0,0,0,0,0,0.0,0,0,1
32,14,10,3,0,0,3,9,0,0,2,1,0,0,4.0695,0,0,500,1.684,0,0,5,1,37,0,0,52,0.708,1,0,1
42,16,18,3,0,0,4,0,0,0,1,1,1,0,4.0527,1,0,404,1.136,0,796,5,1,39,0,0,50,0.001,1,1,1
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.5766,0,0,200,0.753,1,300984,4,1,349,0,0,16,0.078,1,1,0
26,18,0,1,0,0,2,0,0,0,0,1,0,0,3.8441,0,0,200,0.302,0,92364,5,1,220,1,0,176,0.022,1,1,0
23,4,11,1,0,0,3,3,0,0,0,1,0,0,4.0231,1,0,200,0.256,0,271,4,1,49,0,0,40,0.001,1,0,1
97,33,4,3,3,0,3,33,0,0,2,1,0,0,4.7936,0,1,200,1.326,0,24623,1,1,74,0,0,15,0.001,1,0,1
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.6901,1,0,200,0.745,0,135646,2,1,84,1,0,280,0.04,2,1,0
37,23,6,2,0,0,3,0,0,0,1,1,0,0,4.1753,0,1,404,0.453,0,548,2,0,0,0,0,431,0.181,1,0,1
54,9,37,2,0,0,7,0,0,0,0,1,4,0,3.7388,0,0,200,2.514,0,9999,2,1,64,0,0,25,0.441,1,1,1
13,5,0,1,0,0,2,0,0,0,0,1,0,0,3.027,0,0,200,1.269,0,11047,2,1,64,0,0,25,0.281,1,1,0
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.4992,0,0,200,1.416,1,340860,0,1,259,1,0,105,0.066,3,1,0
30,21,1,3,0,0,3,0,0,0,2,1,0,0,4.0314,0,0,200,2.011,1,67870,1,1,74,0,0,15,0.222,1,1,1
80,7,65,1,0,0,4,10,0,0,0,1,1,0,4.634,0,0,410,0.132,0,6751,4,1,63,0,0,26,0.001,1,1,1
31,24,0,2,0,0,2,5,0,0,1,0,0,0,4.2202,0,0,502,0.703,0,0,0,0,0,0,0,0,0.0,0,0,1
22,14,0,1,0,0,2,0,0,0,0,1,0,0,3.8797,0,0,200,1.133,1,262866,4,1,77,0,0,317,0.098,3,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.8269,0,0,200,0.293,0,10731,0,1,52,0,0,37,0.02,1,0,0
15,7,0,1,0,0,2,0,0,0,0,1,0,0,3.5069,0,0,200,0.533,0,11513,2,1,71,0,0,18,0.018,4,1,0
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.7345,0,0,200,2.007,0,74469,2,1,43,0,0,46,0.252,1,1,0
15,7,0,1,0,0,2,0,0,0,0,1,0,0,3.3736,0,0,403,0.12,0,68591,4,1,40,0,0,49,0.136,2,1,0
21,13,0,1,0,0,2,0,0,0,0,1,0,0,3.6538,0,0,403,0.429,0,48,5,1,53,0,0,36,0.068,4,1,0
23,4,11,1,0,0,3,0,0,0,0,1,0,0,3.5884,1,0,200,0.28,0,268,4,1,49,0,0,40,0.001,1,0,1
46,37,1,2,4,0,3,0,0,0,1,1,0,0,4.3111,0,0,200,0.752,0,22362,4,1,80,0,0,9,0.07,2,0,1
27,19,0,1,0,0,2,0,0,0,0,1,0,0,3.736,0,0,200,3.323,3,478346,1,1,333,0,0,60,0.072,2,1,0
18,10,0,1,0,0,2,0,0,0,0,1,0,0,3.8366,0,0,200,2.789,2,123044,4,1,80,0,0,9,0.033,2,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.6819,0,0,200,0.774,1,231292,2,1,190,1,0,206,0.074,3,0,0
42,35,0,2,1,0,2,6,0,0,1,0,0,0,4.475,0,0,502,0.05,0,0,0,0,0,0,0,0,0.0,0,0,1
22,14,0,1,0,0,2,0,0,0,0,1,0,0,4.0049,0,0,200,4.346,1,977407,5,1,122,1,0,274,0.221,1,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.7871,0,1,200,1.14,0,1684,2,1,95,0,0,300,1.024,1,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.7216,0,0,200,0.196,0,1720866,5,1,240,0,0,154,0.035,3,0,0
66,20,38,3,0,0,7,0,0,0,1,1,4,0,3.7786,1,0,404,2.11,0,196,2,1,77,0,0,12,0.284,1,0,1
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.7216,0,0,403,1.384,1,369,5,1,313,0,0,80,0.124,3,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.8269,0,0,200,0.512,1,782233,0,1,71,1,0,294,0.022,1,1,0
35,28,0,2,1,0,2,7,0,0,1,0,0,0,4.4004,0,0,502,0.646,0,0,0,0,0,0,0,0,0.0,0,0,1
